management,monitor,target,people,lemp_firm,export,competition,ownership,mne_country,mne_f,mne_d,degree_m,degree_nm,country,sic
3.5,3.5999999,3.5999999,3.5,5.9914646,,,,,0,0,,,United States,38
3.1666667,3.8,2.5999999,2.5,6.3969297,,2,Dispersed Shareholders,,0,0,100,75,United States,38
3,2.8,3.5999999,3,7.6009026,70,4,Dispersed Shareholders,US,0,1,100,5,United States,38
2.4117646,2.75,2.4000001,2.6666667,8.0391569,,,,,0,0,,,United States,30
4.4444447,4.5999999,4.4000001,4.3333335,5.2417469,,,,,0,0,,,United States,28
4.6666665,4.8000002,4.4000001,4.8333335,5.2417469,,,,,0,0,,,United States,28
4.3888888,4.5999999,4.5999999,4.5,7.4097419,,,,,0,0,,,United States,36
4.2777777,4.8000002,4.1999998,3.8333333,7.4097419,,,,,0,0,,,United States,36
4.8333335,4.8000002,4.8000002,4.8333335,6.9077554,,,,,0,0,,,United States,35
3.1111112,3.8,3,2.8333333,5.1647859,,,,,0,0,,,United States,38
3.1111112,3.8,3,2.6666667,5.1647859,,,,,0,0,,,United States,38
3.1111112,3.8,3.4000001,2.3333333,7.9010072,,10,Other,US,0,1,50,10,United States,38
2.7777777,4,2,2.5,6.4769726,,,,,0,0,,,United States,24
3.1176472,3.4000001,3.4000001,2.5999999,6.6846118,,5,Dispersed Shareholders,,0,0,20,0,United States,24
2.7777777,2.5999999,2.4000001,3,5.7899604,,,,,0,0,,,United States,28
2.8888888,2.4000001,3.2,2.6666667,5.0106354,,,,,0,0,,,United States,35
2.8888888,3.4000001,2.4000001,2.5,5.9661469,,3,Dispersed Shareholders,US,0,1,100,50,United States,35
3.5,3.8,3.8,3.1666667,4.6051702,10,5,Dispersed Shareholders,,0,0,75,10,United States,35
3.8888888,4.1999998,4.1999998,3.6666667,8.5171928,,,,,0,0,,,United States,22
3.5882354,4.4000001,3.4000001,3,8.5171928,,10,Dispersed Shareholders,US,0,1,20,20,United States,22
2.8333333,3.2,2.8,3.1666667,5.0751739,,10,Dispersed Shareholders,US,0,1,80,50,United States,30
3.1111112,3.4000001,2.2,4.3333335,5.857933,,6,Dispersed Shareholders,US,0,1,50,17,United States,30
3.5,3.8,3.4000001,3,5.2983174,,,Dispersed Shareholders,US,0,1,,,United States,28
3.0555556,3.8,2.5999999,2.8333333,6.2146082,,2,Dispersed Shareholders,US,0,1,100,10,United States,28
3,3,3.2,2.6666667,8.0063677,10,0,Dispersed Shareholders,US,0,1,98,1,United States,28
3.6666667,3.8,3.4000001,3.6666667,7.3132205,,,,,0,0,,,United States,36
3.7222223,4,3.4000001,3.6666667,5.7037826,,,,,0,0,,,United States,38
3.3333333,3.5999999,3.5999999,3,5.857933,,,,,0,0,,,United States,24
2.9444444,3.2,2.4000001,3.6666667,7.9373746,,,Dispersed Shareholders,US,0,1,,,United States,32
2.9444444,3.2,2.4000001,3.6666667,7.9373746,,,Dispersed Shareholders,US,0,1,,,United States,32
2.9444444,3.2,2.4000001,3.6666667,5.521461,,,Dispersed Shareholders,US,0,1,95,10,United States,32
3.1666667,3.5999999,2.8,2.8333333,7.8240461,0,4,Dispersed Shareholders,US,0,1,10,5,United States,32
4.6666665,4.8000002,4.5999999,4.8333335,7.6009026,,,,,0,0,,,United States,36
4.3333335,4.8000002,4.1999998,4,6.9077554,,,,,0,0,,,United States,38
3.9444444,3.5999999,4,4,6.9077554,,,,,0,0,,,United States,38
4.1111112,4.4000001,4.4000001,3.5,6.3969297,,,,,0,0,,,United States,36
3.8333333,4,4,3.3333333,7.4383836,,,,,0,0,,,United States,37
3.6666667,4.1999998,3.4000001,3.3333333,5.2983174,,,,,0,0,,,United States,38
3.0555556,2.8,3.2,3,6.9077554,,8,Dispersed Shareholders,US,0,1,100,,United States,38
2.8333333,2.5999999,2.4000001,3,4.6728287,,,,,0,0,,,United States,35
3.7777777,4.1999998,3.2,3.5,6.9077554,,,,,0,0,,,United States,35
3.8888888,4.5999999,3,3.6666667,7.495542,,10,Dispersed Shareholders,,0,0,75,10,United States,35
4.7222223,5,4.4000001,5,7.0817084,80,6,Dispersed Shareholders,,0,0,85,55,United States,35
3.5,3.5999999,3.5999999,3.1666667,5.4424176,,,,,0,0,,,United States,36
3.5555556,4,3.5999999,3.1666667,6.6200733,,10,Dispersed Shareholders,,0,0,90,90,United States,36
3.9444444,4.5999999,3.8,3.8333333,5.3471074,,,,,0,0,,,United States,36
3.6666667,4.4000001,2.8,3.8333333,5.0106354,,7,Dispersed Shareholders,France,1,0,100,31,United States,36
4.6111112,4.5999999,4.5999999,4.5,5.521461,,,,,0,0,,,United States,35
3.5555556,3.8,3.8,3.1666667,5.09375,,,,,0,0,,,United States,28
2.7777777,3,2.4000001,2.8333333,6.9077554,,,Dispersed Shareholders,US,0,1,100,3,United States,28
3.3888888,3.5999999,3.5999999,3,6.2146082,0,10,Dispersed Shareholders,,0,0,80,5,United States,28
4.6666665,5,4.8000002,4.3333335,5.2983174,,,,,0,0,,,United States,28
